1,湖州,885,8,4,12,2,美食,休闲茶饮,饮品/甜点
3,南昌,774,5,3,2,0,美食,休闲茶饮,奶茶
5,杭州,263,2,2,2,0,美食,休闲食品,生鲜水果
6,大连,1139,13,3,1,0,美食,烘焙糕点,面包
7,绍兴,145,13,3,9,2,美食,快餐,西式快餐
8,杭州,234,16,3,1,0,美食,休闲食品,生鲜水果
11,上海,134,12,3,1,0,美食,小吃,其它小吃
12,宁波,786,20,1,2,0,美食,中餐,东北菜
13,杭州,286,6,0,2,0,美食,快餐,中式快餐
14,深圳,862,7,1,4,2,美食,快餐,中式快餐
16,武汉,510,17,3,3,2,美食,小吃,其它小吃
17,厦门,707,15,2,7,2,美食,快餐,西式快餐
18,福州,260,7,4,1,0,美食,火锅,麻辣烫/串串香
19,上海,701,11,3,5,2,美食,休闲茶饮,饮品/甜点
20,广州,251,5,2,3,0,美食,汤/粥/煲/砂锅/炖菜,粥
21,上海,860,9,3,1,0,美食,烘焙糕点,蛋糕
22,重庆,777,6,2,3,2,美食,烘焙糕点,面包
24,温州,1058,12,2,2,1,美食,其他美食,西餐
25,昆明,354,14,3,9,2,美食,快餐,西式快餐
26,厦门,620,12,1,3,1,美食,快餐,中式快餐
27,济南,109,2,3,2,1,美食,快餐,中式快餐
28,泉州,975,14,2,4,2,美食,快餐,西式快餐
29,广州,552,6,1,2,0,美食,小吃,米粉/米线
30,中山,498,7,2,2,2,美食,快餐,西式快餐
34,南京,680,4,3,10,0,美食,休闲茶饮,奶茶
37,上海,639,9,3,4,2,美食,快餐,西式快餐
39,上海,205,9,2,6,0,美食,休闲食品,生鲜水果
41,上海,1054,10,3,9,2,美食,快餐,西式快餐
42,武汉,198,1,3,2,0,美食,休闲茶饮,奶茶
43,上饶,102,15,2,3,2,美食,快餐,西式快餐
44,郑州,1088,20,4,5,2,美食,火锅,川味/重庆火锅
45,宁波,436,16,1,0,0,美食,中餐,川菜
50,上海,93,14,3,0,2,美食,烘焙糕点,面包
51,北京,659,12,2,3,2,美食,快餐,中式快餐
52,绍兴,192,7,3,2,0,美食,休闲茶饮,奶茶
55,上海,357,10,3,8,2,美食,快餐,西式快餐
56,成都,55,14,3,6,2,美食,快餐,西式快餐
57,上海,229,14,2,8,2,美食,快餐,西式快餐
60,成都,730,8,3,5,2,美食,烘焙糕点,面包
61,厦门,203,4,3,1,0,美食,小吃,面点
62,盐城,872,15,3,7,2,美食,快餐,西式快餐
64,成都,197,1,4,6,0,美食,休闲茶饮,冰激凌
67,南京,297,7,1,2,0,美食,小吃,面点
70,北京,667,15,4,2,2,美食,烘焙糕点,蛋糕
71,北京,761,9,3,2,1,美食,烘焙糕点,面包
