2,哈尔滨,64,19,,,1,超市便利店,超市,
4,天津,380,18,,,1,超市便利店,超市,
9,杭州,1120,15,4,0,1,超市便利店,超市,
10,孝感,98,10,,,0,超市便利店,超市,
15,西安,101,19,,,0,超市便利店,超市,
23,青岛,645,3,3,0,1,超市便利店,便利店,
31,北京,571,18,,,1,超市便利店,超市,
32,杭州,789,2,4,0,1,超市便利店,便利店,
33,成都,1159,20,,,1,超市便利店,超市,
35,东莞,296,18,2,0,0,超市便利店,超市,
36,中山,795,17,4,0,0,超市便利店,超市,
38,广州,36,2,3,0,0,超市便利店,便利店,
40,湖州,1125,18,,,0,超市便利店,超市,
46,南京,575,10,0,0,1,超市便利店,超市,
47,北京,322,6,,,1,超市便利店,便利店,
48,绍兴,516,18,,,0,超市便利店,超市,
49,南通,253,19,3,0,1,超市便利店,超市,
53,杭州,264,2,,,1,超市便利店,便利店,
54,武汉,423,9,0,0,1,超市便利店,超市,
58,杭州,1093,19,3,2,1,超市便利店,超市,
59,上海,229,4,,,1,超市便利店,便利店,
63,温州,158,17,,,0,超市便利店,超市,
65,上海,731,20,,,1,超市便利店,超市,
66,宁波,58,2,1,0,1,超市便利店,便利店,
68,广州,490,3,,,1,超市便利店,便利店,
72,广州,552,17,4,0,1,超市便利店,超市,
73,苏州,780,16,,,0,超市便利店,超市,
80,金华,874,17,,,0,超市便利店,超市,
86,成都,910,19,3,0,1,超市便利店,超市,
89,重庆,754,17,4,0,1,超市便利店,超市,
91,福州,930,18,,,0,超市便利店,超市,
92,成都,818,19,4,0,1,超市便利店,超市,
102,杭州,914,13,,,0,超市便利店,超市,
106,广州,309,2,4,0,0,超市便利店,便利店,
109,金华,622,11,,,0,超市便利店,便利店,
110,北京,982,7,,,1,超市便利店,便利店,
112,珠海,204,18,3,0,1,超市便利店,超市,
113,厦门,1107,1,,,0,超市便利店,超市,
116,杭州,386,2,,,0,超市便利店,超市,
120,杭州,1111,14,,,0,超市便利店,超市,
124,杭州,1094,17,3,0,1,超市便利店,超市,
129,宁波,46,20,4,0,1,超市便利店,超市,
130,南京,130,18,4,0,1,超市便利店,超市,
140,北京,1043,5,,,1,超市便利店,便利店,
141,北京,658,17,,,0,超市便利店,超市,
142,杭州,789,2,,,1,超市便利店,便利店,
146,福州,1075,19,,,1,超市便利店,超市,
147,广州,552,3,2,0,1,超市便利店,便利店,
148,武汉,737,5,,,0,超市便利店,便利店,
153,黄冈,515,17,,,1,超市便利店,超市,
156,惠州,334,18,,,0,超市便利店,超市,
160,上海,153,2,4,0,1,超市便利店,便利店,
162,广州,343,2,3,0,0,超市便利店,便利店,
163,杭州,778,17,4,0,0,超市便利店,超市,
168,杭州,672,10,,,0,超市便利店,超市,
170,天津,43,18,4,0,1,超市便利店,超市,
172,北京,1005,19,4,0,1,超市便利店,超市,
173,南京,66,16,,,1,超市便利店,超市,
175,武汉,435,18,4,0,1,超市便利店,超市,
178,上海,630,16,,,0,超市便利店,超市,
180,苏州,729,16,,,0,超市便利店,超市,
189,无锡,984,17,,,1,超市便利店,超市,
199,苏州,1034,15,,,0,超市便利店,超市,
203,上海,356,18,,,1,超市便利店,超市,
208,北京,580,17,,,0,超市便利店,超市,
218,北京,1043,2,,,1,超市便利店,超市,
224,温州,442,2,2,0,1,超市便利店,便利店,
228,南京,221,13,4,0,1,超市便利店,超市,
230,福州,607,14,,,0,超市便利店,超市,
231,南京,212,17,4,0,1,超市便利店,超市,
232,温州,841,5,3,0,1,超市便利店,便利店,
243,漳州,202,18,,,1,超市便利店,超市,
256,南宁,76,18,3,0,1,超市便利店,超市,
257,北京,129,6,,,0,超市便利店,便利店,
263,杭州,1091,10,,,1,超市便利店,便利店,
268,深圳,531,3,3,0,0,超市便利店,便利店,
276,上海,168,19,,,1,超市便利店,超市,
282,杭州,378,3,3,0,1,超市便利店,便利店,
290,温州,141,6,4,0,1,超市便利店,便利店,
292,广州,57,3,0,0,0,超市便利店,便利店,
293,福州,122,17,3,0,1,超市便利店,超市,
296,成都,845,18,,,1,超市便利店,超市,
298,西安,1020,19,,,1,超市便利店,超市,
301,重庆,486,3,1,0,1,超市便利店,便利店,
310,深圳,576,17,,,1,超市便利店,超市,
322,佛山,82,3,1,0,0,超市便利店,便利店,
329,青岛,940,5,3,0,1,超市便利店,便利店,
338,上海,1013,19,2,0,1,超市便利店,超市,
346,温州,837,3,4,0,1,超市便利店,便利店,
348,北京,540,19,4,0,1,超市便利店,超市,
349,合肥,599,12,,,0,超市便利店,超市,
